Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
390592.47,77.63229167,21.9,11.6,0,11
299860.89,77.64354167,20.4,10.9,0,13.9
412231.84,77.6925,21.5,8.5,0,12.7
343770.81,77.79770833,25.2,18.2,15.8,7.8
295240.48,77.94166667,23.7,16.9,10,11.7
67906,77.996875,16.8,9.4,0,10
371139.66,78.04291667,21.8,18.4,5.4,11.3
215167.87,78.0875,19,14.8,0,13.6
375204.66,78.14666667,26,19.3,0,4
296875.28,78.2675,27.2,17.5,0,16.3
53416.05,78.36979167,16.4,10.4,0.6,6.5
210749.86,78.42291667,16.2,8.7,4,8.5
400773.23,78.43666667,20.7,10.6,0,8
310452.54,78.47916667,26.8,19.7,0.2,13.9
272602.98,78.525,10.6,8.7,1,7.9
287756.13,78.551875,24,12.4,0.8,14.3
255395.98,78.730625,13,9.6,1.6,11.3
189621.33,78.73270833,27,14.8,0,7.5
422641.49,78.80166667,36.5,22.1,0,22.3
51048.33,78.910625,17.9,10.8,1.8,10.6
59442.61,78.92666667,14.9,7,0,5.4
54311.61,78.95583333,22.5,19.5,0,15.3
292524.75,78.95958333,26.1,16.7,0,14.6
63655.86,78.9625,15.8,12.2,8.2,9
428294.53,78.99166667,15,6.9,3.2,9.1
409698.74,79.01083333,19.9,6.6,0,14.7
361427.65,79.196875,29.3,19.9,0,25.3
377794.85,79.32875,21.9,11.2,0,12.4
297940.3,79.39875,23.5,7.9,0,14.5
293927.78,79.44145833,25.5,16.5,0,11.3
303646.36,79.44958333,26,18.1,1.2,12
339236.5,79.51416667,26.9,17.7,31,13.7
333481.48,79.56416667,32,23.1,0.2,22
247908.62,79.59145833,12,7,3,8.3
408758.73,79.61791667,21.6,11.4,0,9.8
415079.49,79.64145833,20.4,7.2,0,13.9
435288.58,79.65333333,21.7,7.3,0,9.9
52999.53,79.67395833,17.8,9.1,0,8.6
294203.78,79.69020833,23.8,14.5,0,11.5
453623.47,79.75645833,16.4,10.1,40,7.4
298281.86,79.7625,32,20,0,25.8
51714.85,79.84625,32.6,15.7,0,13.1
284794.18,79.86875,25.4,13.1,0,15.8
69541.66,79.89979167,15.5,7.7,4.6,9.3
247480.53,79.90479167,13.1,7.1,1.4,3.8
358967.22,79.944375,37.7,23.4,0.2,19.7
408600.29,79.99208333,20.4,12,0,11.6
432217.63,80.03208333,37.7,20.5,0,27.8
59973.5,80.0625,17.9,6.5,0,15.7
308323.63,80.176875,20.3,12.2,0,11.5
311990.81,80.18291667,30,20.2,1.2,20.9
56468,80.18875,11.4,7.9,0,7
296478.92,80.28458333,24.5,16.6,0,12.4
298858.44,80.28854167,27.1,15.1,0,14.5
52005.52,80.38645833,22.5,11.1,0,14.6
288095.46,80.41541667,23.3,8.9,0,15.5
256255.5,80.43729167,16.5,11.9,0,1.3
401686.54,80.60583333,20.4,10.5,0,10.4
305792.78,80.64645833,27.9,23.4,6.6,7.4
